Acc Eff (stat, up)
0, 1, 0.0103744
1, 2, 0.00649155
2, 3, 0.0085007
3, 4, 0.0067898
4, 5, 0.0072355
5, 6, 0.00806846
6, 7, 0.00822819
7, 8, 0.00718117
8, 9, 0.00677699
9, 10, 0.00650836
10, 11, 0.00995314
11, 12, 0.0158222
12, 13, 0.00453714
13, 14, 0.00311229
14, 15, 0.00223866
15, 16, 0.0016473
16, 17, 0.00225689
17, 18, 0.00183195
18, 19, 0.00191466
19, 20, 0.00194131
20, 21, 0.00198497
21, 22, 0.00204761
22, 23, 0.00205046
23, 24, 0.00215527
24, 25, 0.00209392
25, 26, 0.00210336
26, 27, 0.00210758
27, 28, 0.00211686
28, 29, 0.00201912
29, 30, 0.00202665
30, 31, 0.0020918
31, 32, 0.00210704
32, 33, 0.00234871
33, 34, 0.00328273
34, 35, 0.00442057
35, 36, 0.0176013
